 ,Orden del país,Trimestre,Año(aaaa)-Trimestre(t),Año(aaaa),Clasificación inversión directa,Descripción tipo inversión directa,Valor anual,Estado de la información,Periodicidad de la información
Islas Vírgenes Británicas,40,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"160,256898481249",Provisional,Anual
Israel,47,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-1,39036122772331",Provisional,Anual
Italia,48,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"90,2574505718291",Provisional,Anual
Japón,49,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"35,5642902186569",Provisional,Anual
Jordania,50,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Kuwait,51,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Liberia,53,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Liechtenstein,54,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Lituania,55,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Luxemburgo,56,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-43,2026017688012",Provisional,Anual
Líbano,52,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Malasia,57,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,148800411420533",Provisional,Anual
México,58,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"202,654920094556",Provisional,Anual
Nicaragua,59,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Noruega,60,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"4,18754025354433",Provisional,Anual
Nueva Zelanda,61,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,64120223",Provisional,Anual
Otros Países,81,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Panamá,63,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1851,96802618818",Provisional,Anual
Paraguay,64,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Países Bajos,62,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"335,377612488142",Provisional,Anual
Perú,65,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"133,55980127823",Provisional,Anual
Portugal,66,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"9,25706482152918",Provisional,Anual
Puerto Rico,67,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"5,14346342",Provisional,Anual
República Dominicana,69,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"2,97693444608745",Provisional,Anual
Singapur,70,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"46,8560075164726",Provisional,Anual
Sri Lanka,71,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Sudáfrica,74,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Suecia,72,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"55,0139101291973",Provisional,Anual
Suiza,73,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"811,897012161872",Provisional,Anual
Tailandia,75,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Taiwán,76,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,36148",Provisional,Anual
Total paises,82,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"13489,3577744231",Provisional,Anual
Ucrania,77,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,013591",Provisional,Anual
Uruguay,78,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"72,9126563256184",Provisional,Anual
Venezuela,79,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"4,06387792883402",Provisional,Anual
Afganistán,1,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"24,7315958134295",Provisional,Trimestral
Anguilla,4,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"240,665170334269",Provisional,Trimestral
Antillas Holandesas,5,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,110383335692833",Provisional,Trimestral
Argentina,6,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,922057122310352",Provisional,Trimestral
Aruba,7,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,237496955863067",Provisional,Trimestral
Australia,8,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"9,02806214298161",Provisional,Trimestral
Austria,9,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"5,50327239844387",Provisional,Trimestral
Bahamas,10,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"6,20457128433185",Provisional,Trimestral
Barbados,11,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"89,9513159348478",Provisional,Trimestral
Belice,13,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"2,279144",Provisional,Trimestral
Bermudas,14,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-91,4503267087969",Provisional,Trimestral
Bolivia,15,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,21947324",Provisional,Trimestral
Brasil,16,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"18,1550881763891",Provisional,Trimestral
Bélgica,12,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,656170114176375",Provisional,Trimestral
Canadá,17,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"50,7826185452947",Provisional,Trimestral
Chile,18,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"125,9379152283",Provisional,Trimestral
China,19,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"8,82282615627116",Provisional,Trimestral
Chipre,21,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,21080564",Provisional,Trimestral
Corea del Sur,20,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,139234424296177",Provisional,Trimestral
Costa Rica,22,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"8,03691542833728",Provisional,Trimestral
Cuba,23,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Curazao,24,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,11678404013073",Provisional,Trimestral
Dinamarca,25,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,472438546338594",Provisional,Trimestral
Ecuador,26,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"11,8696558862729",Provisional,Trimestral
El Salvador,27,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-5,67802009",Provisional,Trimestral
Escocia,28,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
España,29,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"711,835462958992",Provisional,Trimestral
Estados Unidos,30,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"947,329416736128",Provisional,Trimestral
Finlandia,31,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Francia,32,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"57,9647201915251",Provisional,Trimestral
Gibraltar,33,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Grecia,34,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,16787",Provisional,Trimestral
Guatemala,35,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,26191379",Provisional,Trimestral
Honduras,36,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,04858187",Provisional,Trimestral
Hong Kong,37,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Hungría,38,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
India,41,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"5,88422895850963",Provisional,Trimestral
Inglaterra,42,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"294,971783543121",Provisional,Trimestral
Irlanda⁴,45,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-19,440807674679",Provisional,Trimestral
Irán,44,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Isla de Man,46,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"6,73865537993514",Provisional,Trimestral
Islas Caimán,39,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-56,8924157552176",Provisional,Trimestral
Islas Vírgenes Británicas,40,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-1,98328209252839",Provisional,Trimestral
Israel,47,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,97571623957562",Provisional,Trimestral
Italia,48,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"32,2290360376747",Provisional,Trimestral
Japón,49,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"11,8369386463389",Provisional,Trimestral
Jordania,50,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Kuwait,51,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liberia,53,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liechtenstein,54,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Lituania,55,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Luxemburgo,56,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"17,6385882114724",Provisional,Trimestral
Líbano,52,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Malasia,57,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,011041712635522",Provisional,Trimestral
México,58,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-24,8786379878196",Provisional,Trimestral
Nicaragua,59,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Noruega,60,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,3090064769612",Provisional,Trimestral
Nueva Zelanda,61,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,17823946",Provisional,Trimestral
Otros Países,81,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Panamá,63,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"373,290808139354",Provisional,Trimestral
Paraguay,64,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Países Bajos,62,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"133,354388417973",Provisional,Trimestral
Perú,65,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"34,7128851690856",Provisional,Trimestral
Portugal,66,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,457005952436823",Provisional,Trimestral
Puerto Rico,67,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"2,08533219",Provisional,Trimestral
República Dominicana,69,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,101485155533509",Provisional,Trimestral
Singapur,70,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"16,0709566276759",Provisional,Trimestral
Sri Lanka,71,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Sudáfrica,74,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-5,26713526",Provisional,Trimestral
Suecia,72,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"20,6586517998634",Provisional,Trimestral
Suiza,73,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"191,508992123922",Provisional,Trimestral
Tailandia,75,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Taiwán,76,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Total paises,82,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"3317,21106248947",Provisional,Trimestral
Ucrania,77,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Uruguay,78,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"58,8029833494391",Provisional,Trimestral
Venezuela,79,3,2022-3,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,91333028417104",Provisional,Trimestral
Afganistán,1,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"38,1078700277453",Provisional,Trimestral
Anguilla,4,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"564,126688158059",Provisional,Trimestral
Antillas Holandesas,5,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,147953434044027",Provisional,Trimestral
Argentina,6,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,245443323549676",Provisional,Trimestral
Aruba,7,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,267175487390719",Provisional,Trimestral
Australia,8,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"2,62135441606712",Provisional,Trimestral
Austria,9,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"3,93822790627286",Provisional,Trimestral
Bahamas,10,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"10,0687822263999",Provisional,Trimestral
Barbados,11,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"92,8293540171698",Provisional,Trimestral
Belice,13,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,432172",Provisional,Trimestral
Bermudas,14,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"75,7077580115154",Provisional,Trimestral
Bolivia,15,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,842122",Provisional,Trimestral
Brasil,16,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-25,4980053630997",Provisional,Trimestral
Bélgica,12,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"10,9705673587145",Provisional,Trimestral
Canadá,17,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"140,427503357205",Provisional,Trimestral
Chile,18,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"221,141675350533",Provisional,Trimestral
China,19,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"32,7371285509726",Provisional,Trimestral
Chipre,21,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,125",Provisional,Trimestral
Corea del Sur,20,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,245824180762557",Provisional,Trimestral
Costa Rica,22,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"6,01540433659208",Provisional,Trimestral
Cuba,23,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Curazao,24,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,173190945728772",Provisional,Trimestral
Dinamarca,25,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"6,36126093436655",Provisional,Trimestral
Ecuador,26,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"14,9303212242056",Provisional,Trimestral
El Salvador,27,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"3,22621411",Provisional,Trimestral
Escocia,28,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,0007191",Provisional,Trimestral
España,29,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"701,194310746151",Provisional,Trimestral
Estados Unidos,30,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1468,07642576011",Provisional,Trimestral
Finlandia,31,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Francia,32,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"97,7424876896434",Provisional,Trimestral
Gibraltar,33,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Grecia,34,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,45395709",Provisional,Trimestral
Guatemala,35,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-20,714776",Provisional,Trimestral
Honduras,36,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,6171195",Provisional,Trimestral
Hong Kong,37,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Hungría,38,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
India,41,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"5,26749034623992",Provisional,Trimestral
Inglaterra,42,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"328,362977112226",Provisional,Trimestral
Irlanda⁴,45,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"4,61110257325529",Provisional,Trimestral
Irán,44,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Isla de Man,46,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"9,2323961764163",Provisional,Trimestral
Islas Caimán,39,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"174,329636999842",Provisional,Trimestral
Islas Vírgenes Británicas,40,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"67,6484415994435",Provisional,Trimestral
Israel,47,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,205672549412455",Provisional,Trimestral
Italia,48,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"33,021072183382",Provisional,Trimestral
Japón,49,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"12,4435165206052",Provisional,Trimestral
